Title,Link,Occupations,Companies,Company_location,Sepcs
Machine Learning Engineer,https://wuzzuf.net/jobs/p/i6gKb2MTXTOO-Machine-Learning-Engineer-Afaqy-Cairo-Egypt,Full TimeHybrid,Afaqy,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Machine Learning · LLM · Automation · Python
Python Artisan Developer,https://wuzzuf.net/jobs/p/EjPByHhxrg1y-Python-Artisan-Developer-coto-Cairo-Egypt,Full TimeRemote,coto,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeRemoteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB
AI Data Science and Machine Learning Instructor,https://wuzzuf.net/jobs/p/z0CoEumbENY6-AI-Data-Science-and-Machine-Learning-Instructor-CLS-Learning-Solutions-Giza-Egypt,Part TimeFreelance / ProjectHybrid,CLS Learning Solutions,"<span class=""css-5wys0k"">Dokki, <!-- -->Giza, <!-- -->Egypt </span>",Part TimeFreelance / ProjectHybridExperienced · 3 - 15 Yrs of Exp · Training/Instructor · Machine Learning · AI · Deep Learning · Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching
Data scientist/Statistician,https://wuzzuf.net/jobs/p/TU7iwLbeRqBU-Data-scientistStatistician-COB-Solution-Cairo-Egypt,Full TimeOn-site,COB Solution ,"<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Business Development · Analyst/Research · Algorithms · Computer Science · Data · Data Mining · Data Science · Machine Learning · Mathematics · Statistics
Senior AI Engineer,https://wuzzuf.net/jobs/p/qZt8hX89HQtt-Senior-AI-Engineer-Lumin-Giza-Egypt,Full TimeHybrid,Lumin,"<span class=""css-5wys0k"">Sheikh Zayed, <!-- -->Giza, <!-- -->Egypt </span>",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch
Maintenance Engineer,https://wuzzuf.net/jobs/p/ALhE9FKSg2QS-Maintenance-Engineer-Kern-egypt-Cairo-Egypt,Full TimeOn-site,Kern egypt,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Machines · Maintenance · Mechanical Engineering
Learning & Development Specialist,https://wuzzuf.net/jobs/p/g/MMXq23vZuxIY-Learning-Development-Specialist-UNITED-STEEL-INDUSTRIAL-CO-Kuwait-City-Kuwait,Full Time,UNITED STEEL INDUSTRIAL CO.,"<span class=""css-5wys0k"">Kuwait City, <!-- -->Kuwait </span>",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Learning & Development Management Lead Specialist,https://wuzzuf.net/jobs/p/g/qETeXaxNIqtk-Learning-Development-Management-Lead-Specialist-Zakat-Tax-and-Customs-Authority-Riyadh-Saudi-Arabia,Full Time,"Zakat, Tax and Customs Authority","<span class=""css-5wys0k"">Riyadh, <!-- -->Saudi Arabia </span>",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Data Scientists Team Lead,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt,Full TimeHybrid,Smart Vision Technologies,"<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeHybridManager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · Data Analysis · Analytics · Computer Science · Information Technology (IT) · SQL · Agile
AI Technical Team Lead,https://wuzzuf.net/jobs/p/96sRcbkq9vc5-AI-Technical-Team-Lead-Cairo-Egypt,Full TimeOn-site,Confidential,"<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Cloud · computer · Computer Science · Development · Engineering · Information Technology (IT)
Site Reliability Engineer,https://wuzzuf.net/jobs/p/dX3TKDNIhK4V-Site-Reliability-Engineer-Citylogix-ME-Cairo-Egypt,Full TimeOn-site,Citylogix ME,"<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Information Technology (IT) · System Admin · System Administration · PostgreSQL · Docker · Node.js
